"company_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
1,68.32,t,"2019-05-22 00:00:00",1,4.45662100456621,11.9859649122807,20.4550898203593,4.24875621890547,0.343838193791157,88.24,0.36,7.45,23.02,37.88,2.13,22010000000,t
1,67.64,t,"2019-05-16 00:00:00",1,4.41226353555121,11.8666666666667,20.251497005988,4.20646766169154,0.311853245531515,88.24,0.36,7.45,23.02,37.88,2.13,22010000000,t
1,62.5,t,"2018-05-16 00:00:00",1,4.07697325505545,10.9649122807018,18.7125748502994,3.88681592039801,0.0700846660395109,88.24,0.36,7.45,23.02,37.88,2.13,22010000000,f
3,43.47,t,"2018-07-28 00:00:00",3,1.58765522279036,29.3716216216216,14.735593220339,0.752076124567474,0.143689986282579,105.4,0.79,11.35,11.36,39.73,1.55,4160000000,t
3,43.89,t,"2018-10-26 00:00:00",3,1.60299488677867,29.6554054054054,14.8779661016949,0.759342560553633,0.158093278463649,105.4,0.79,11.35,11.36,39.73,1.55,4160000000,t
3,44.1,t,"2018-10-30 00:00:00",3,1.61066471877283,29.7972972972973,14.9491525423729,0.762975778546713,0.165294924554184,105.4,0.79,11.35,11.36,39.73,1.55,4160000000,t
6,73.22,t,"2018-12-21 00:00:00",6,5.26762589928058,5.35233918128655,17.0279069767442,0.089561367027913,0.151431934091801,67.99,27.13,2.81,27.86,152.81,0.95,18320000000,t
12,10.1,t,"2018-12-21 00:00:00",12,1.02642276422764,4.67592592592593,7.26618705035971,2.00795228628231,0.111111111111111,49.62,19.88,3.14,14.44,361.2,5.52,1180000000,t
16,32.69,t,"2019-03-11 00:00:00",14,1.44326710816777,35.9230769230769,24.3955223880597,0.334356141965838,0.41397533763946,106.78,0.88,3.36,5.97,62.3,1.5,2520000000,t
16,32.69,t,"2019-03-09 00:00:00",14,1.44326710816777,35.9230769230769,24.3955223880597,0.334356141965838,0.41397533763946,106.78,0.88,3.36,5.97,62.3,1.5,2520000000,t
16,28.2,t,"2018-12-08 00:00:00",14,1.24503311258278,30.989010989011,21.044776119403,0.28843203436637,0.150322959483265,106.78,0.88,3.36,5.97,62.3,1.5,2520000000,t
20,7.95,t,"2018-10-31 00:00:00",17,1.01273885350318,8.28125,7.79411764705882,0.417981072555205,0.296998420221169,92.9,2.57,4.73,13.88,154.97,1.94,881150000,t
20,8.21,t,"2019-05-03 00:00:00",17,1.04585987261147,8.55208333333333,8.04901960784314,0.431650893796004,0.338072669826224,92.9,2.57,4.73,13.88,154.97,1.94,881150000,f
20,7.22,t,"2018-12-08 00:00:00",17,0.919745222929936,7.52083333333333,7.07843137254902,0.379600420609884,0.181674565560821,92.9,2.57,4.73,13.88,154.97,1.94,881150000,t
23,28.58,t,"2018-12-08 00:00:00",19,1.04727006229388,5.68190854870775,15.3655913978495,0.22072907012666,0.280478683620045,90,1.26,2.59,8.44,84.79,1.22,5310000000,t
26,143.5,t,"2018-12-21 00:00:00",21,6.65584415584416,19.1588785046729,19.9305555555556,2.2234273318872,0.154909505486675,72.46,0.23,15.04,39.09,0.17,1.34,127470000000,t
32,23.08,t,"2018-12-22 00:00:00",24,2.25390625,177.538461538462,-209.818181818182,1.28079911209767,0.0939781021897808,102.51,0.32,1.39,-1.03,210.02,0.62,2890000000,t
33,18.04,t,"2019-05-17 00:00:00",25,0.88,1.62084456424079,-0.915271435819381,0.100647176969426,0.178376741368867,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,21.97,t,"2019-05-08 00:00:00",25,1.07170731707317,1.97394429469901,-1.11466260781329,0.122573086364651,0.297395517867959,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,12.57,t,"2019-03-23 00:00:00",25,0.613170731707317,1.12938005390836,-0.637747336377473,0.0701294353938853,0.0127195639006663,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,15.16,t,"2019-03-11 00:00:00",25,0.739512195121951,1.36208445642408,-0.769152714358194,0.0845793349698728,0.0911568746214415,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,17.76,t,"2018-12-18 00:00:00",25,0.866341463414634,1.59568733153639,-0.901065449010655,0.0990850256639143,0.169897032101757,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,35.56,t,"2018-10-05 00:00:00",25,1.73463414634146,3.19496855345912,-1.80416032470827,0.198393215800045,0.708964264082374,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,44.51,t,"2018-07-26 00:00:00",25,2.17121951219512,3.99910152740341,-2.25824454591578,0.24832626645838,0.980012113870381,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,48.1,t,"2018-06-12 00:00:00",25,2.34634146341463,4.32165318957772,-2.44038559107052,0.268355277839768,1.08873410054512,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,23.75,t,"2019-08-01 00:00:00",25,1.15853658536585,2.13387241689128,-1.20497209538305,0.132503905378264,0.351302241066021,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
